"DEMAND","TIME","HOUR","DATE"
2785.50372134045,2014-07-18 00:00:00,0,2014-07-18
2669.56646642046,2014-07-18 01:00:00,1,2014-07-18
2823.69439111453,2014-07-18 02:00:00,2,2014-07-18
2941.04608038151,2014-07-18 03:00:00,3,2014-07-18
3065.64013181547,2014-07-18 04:00:00,4,2014-07-18
3266.95988176472,2014-07-18 05:00:00,5,2014-07-18
3351.60745743574,2014-07-18 06:00:00,6,2014-07-18
3329.81374642368,2014-07-18 07:00:00,7,2014-07-18
2579.69759931047,2014-07-18 08:00:00,8,2014-07-18
2650.64996477664,2014-07-18 09:00:00,9,2014-07-18
2628.01586580901,2014-07-18 10:00:00,10,2014-07-18
2706.63953611295,2014-07-18 11:00:00,11,2014-07-18
2611.81813313924,2014-07-18 12:00:00,12,2014-07-18
2541.34921435131,2014-07-18 13:00:00,13,2014-07-18
2584.82693823414,2014-07-18 14:00:00,14,2014-07-18
2393.40671453805,2014-07-18 15:00:00,15,2014-07-18
2455.67289628604,2014-07-18 16:00:00,16,2014-07-18
2312.60349448123,2014-07-18 17:00:00,17,2014-07-18
3034.22114775806,2014-07-18 18:00:00,18,2014-07-18
3079.6796658063,2014-07-18 19:00:00,19,2014-07-18
2882.66422885249,2014-07-18 20:00:00,20,2014-07-18
2912.4017154143,2014-07-18 21:00:00,21,2014-07-18
2853.54604284992,2014-07-18 22:00:00,22,2014-07-18
2860.28940351915,2014-07-18 23:00:00,23,2014-07-18
2953.08714595863,2014-07-19 00:00:00,0,2014-07-19
2971.84868776191,2014-07-19 01:00:00,1,2014-07-19
2980.13526500042,2014-07-19 02:00:00,2,2014-07-19
2970.96058965964,2014-07-19 03:00:00,3,2014-07-19
3060.30090271065,2014-07-19 04:00:00,4,2014-07-19
3149.38632528948,2014-07-19 05:00:00,5,2014-07-19
3230.54973600924,2014-07-19 06:00:00,6,2014-07-19
3327.09159918876,2014-07-19 07:00:00,7,2014-07-19
2470.63148717146,2014-07-19 08:00:00,8,2014-07-19
2203.07703901532,2014-07-19 09:00:00,9,2014-07-19
2580.32955841598,2014-07-19 10:00:00,10,2014-07-19
2610.40371427173,2014-07-19 11:00:00,11,2014-07-19
2594.52717087197,2014-07-19 12:00:00,12,2014-07-19
2561.49594892611,2014-07-19 13:00:00,13,2014-07-19
2628.03609108998,2014-07-19 14:00:00,14,2014-07-19
2582.39716675246,2014-07-19 15:00:00,15,2014-07-19
2497.2526622076,2014-07-19 16:00:00,16,2014-07-19
2504.13625853725,2014-07-19 17:00:00,17,2014-07-19
3405.90947696387,2014-07-19 18:00:00,18,2014-07-19
3246.1270535852,2014-07-19 19:00:00,19,2014-07-19
3011.75612779273,2014-07-19 20:00:00,20,2014-07-19
2887.51013550333,2014-07-19 21:00:00,21,2014-07-19
2813.35754560267,2014-07-19 22:00:00,22,2014-07-19
2666.71358408623,2014-07-19 23:00:00,23,2014-07-19
2693.2388855901,2014-07-20 00:00:00,0,2014-07-20
2774.96470802639,2014-07-20 01:00:00,1,2014-07-20
2798.14191217982,2014-07-20 02:00:00,2,2014-07-20
2934.21539806984,2014-07-20 03:00:00,3,2014-07-20
2939.5271116149,2014-07-20 04:00:00,4,2014-07-20
2965.69673250156,2014-07-20 05:00:00,5,2014-07-20
3028.36884908493,2014-07-20 06:00:00,6,2014-07-20
3051.75599555463,2014-07-20 07:00:00,7,2014-07-20
2320.31445888178,2014-07-20 08:00:00,8,2014-07-20
2467.63595473592,2014-07-20 09:00:00,9,2014-07-20
2502.86530004415,2014-07-20 10:00:00,10,2014-07-20
2570.80097683229,2014-07-20 11:00:00,11,2014-07-20
2502.92172069161,2014-07-20 12:00:00,12,2014-07-20
2564.21792820646,2014-07-20 13:00:00,13,2014-07-20
2506.87720537672,2014-07-20 14:00:00,14,2014-07-20
2361.51924734256,2014-07-20 15:00:00,15,2014-07-20
2419.25459086275,2014-07-20 16:00:00,16,2014-07-20
2318.99008513785,2014-07-20 17:00:00,17,2014-07-20
3206.36320030035,2014-07-20 18:00:00,18,2014-07-20
3127.38241133737,2014-07-20 19:00:00,19,2014-07-20
2962.39098459753,2014-07-20 20:00:00,20,2014-07-20
2967.6731061927,2014-07-20 21:00:00,21,2014-07-20
2851.21474633159,2014-07-20 22:00:00,22,2014-07-20
2808.28390596283,2014-07-20 23:00:00,23,2014-07-20
2817.73365193445,2014-07-21 00:00:00,0,2014-07-21
2831.3958210849,2014-07-21 01:00:00,1,2014-07-21
2884.86870796539,2014-07-21 02:00:00,2,2014-07-21
3219.83866588439,2014-07-21 03:00:00,3,2014-07-21
3305.78939076398,2014-07-21 04:00:00,4,2014-07-21
3446.222447797,2014-07-21 05:00:00,5,2014-07-21
3425.3951338418,2014-07-21 06:00:00,6,2014-07-21
3450.02033737557,2014-07-21 07:00:00,7,2014-07-21
2608.86057962328,2014-07-21 08:00:00,8,2014-07-21
2711.04769818642,2014-07-21 09:00:00,9,2014-07-21
2723.86778388261,2014-07-21 10:00:00,10,2014-07-21
2726.6318187945,2014-07-21 11:00:00,11,2014-07-21
2687.73860265993,2014-07-21 12:00:00,12,2014-07-21
2691.87516059267,2014-07-21 13:00:00,13,2014-07-21
2579.39316012173,2014-07-21 14:00:00,14,2014-07-21
2570.09424056663,2014-07-21 15:00:00,15,2014-07-21
2524.24045953327,2014-07-21 16:00:00,16,2014-07-21
2359.97641673042,2014-07-21 17:00:00,17,2014-07-21
3301.15266843475,2014-07-21 18:00:00,18,2014-07-21
3160.89515929283,2014-07-21 19:00:00,19,2014-07-21
3073.38205590096,2014-07-21 20:00:00,20,2014-07-21
3018.27675644067,2014-07-21 21:00:00,21,2014-07-21
3048.02460544311,2014-07-21 22:00:00,22,2014-07-21
3042.64985001465,2014-07-21 23:00:00,23,2014-07-21
3090.47422676122,2014-07-22 00:00:00,0,2014-07-22
2992.02575225875,2014-07-22 01:00:00,1,2014-07-22
3152.92596871547,2014-07-22 02:00:00,2,2014-07-22
3249.95595671409,2014-07-22 03:00:00,3,2014-07-22
3393.35000502308,2014-07-22 04:00:00,4,2014-07-22
3561.5972791663,2014-07-22 05:00:00,5,2014-07-22
3601.06114922552,2014-07-22 06:00:00,6,2014-07-22
3713.40101008929,2014-07-22 07:00:00,7,2014-07-22
2951.66282858016,2014-07-22 08:00:00,8,2014-07-22
3068.62257461953,2014-07-22 09:00:00,9,2014-07-22
3059.29507056153,2014-07-22 10:00:00,10,2014-07-22
3007.07076661827,2014-07-22 11:00:00,11,2014-07-22
3083.82351653553,2014-07-22 12:00:00,12,2014-07-22
3010.67175858883,2014-07-22 13:00:00,13,2014-07-22
2890.87914599603,2014-07-22 14:00:00,14,2014-07-22
2892.94096191123,2014-07-22 15:00:00,15,2014-07-22
2745.06236021904,2014-07-22 16:00:00,16,2014-07-22
2686.62493273625,2014-07-22 17:00:00,17,2014-07-22
3531.45914548689,2014-07-22 18:00:00,18,2014-07-22
3459.27789499226,2014-07-22 19:00:00,19,2014-07-22
3379.38256055187,2014-07-22 20:00:00,20,2014-07-22
3252.70675034975,2014-07-22 21:00:00,21,2014-07-22
3285.1114216965,2014-07-22 22:00:00,22,2014-07-22
3240.36455996817,2014-07-22 23:00:00,23,2014-07-22
3428.78404582723,2014-07-23 00:00:00,0,2014-07-23
3517.41110432683,2014-07-23 01:00:00,1,2014-07-23
3778.66099908316,2014-07-23 02:00:00,2,2014-07-23
3916.04343022619,2014-07-23 03:00:00,3,2014-07-23
4199.3126155554,2014-07-23 04:00:00,4,2014-07-23
4225.26150589884,2014-07-23 05:00:00,5,2014-07-23
4222.08223632234,2014-07-23 06:00:00,6,2014-07-23
4228.74265010154,2014-07-23 07:00:00,7,2014-07-23
3309.40004096239,2014-07-23 08:00:00,8,2014-07-23
3285.34194686163,2014-07-23 09:00:00,9,2014-07-23
3357.04756344762,2014-07-23 10:00:00,10,2014-07-23
3227.38226502939,2014-07-23 11:00:00,11,2014-07-23
1756.24448539693,2014-07-23 12:00:00,12,2014-07-23
1638.17771317475,2014-07-23 13:00:00,13,2014-07-23
1563.54430996183,2014-07-23 14:00:00,14,2014-07-23
3278.88743397365,2014-07-23 15:00:00,15,2014-07-23
3061.50872338056,2014-07-23 16:00:00,16,2014-07-23
3011.34277717457,2014-07-23 17:00:00,17,2014-07-23
4016.24318710726,2014-07-23 18:00:00,18,2014-07-23
3912.94981674749,2014-07-23 19:00:00,19,2014-07-23
3805.41758307258,2014-07-23 20:00:00,20,2014-07-23
3849.16987705129,2014-07-23 21:00:00,21,2014-07-23
3856.20495571023,2014-07-23 22:00:00,22,2014-07-23
3810.96289312156,2014-07-23 23:00:00,23,2014-07-23
3876.75012100885,2014-07-24 00:00:00,0,2014-07-24
3881.73528730633,2014-07-24 01:00:00,1,2014-07-24
3954.80004140178,2014-07-24 02:00:00,2,2014-07-24
4161.37044414526,2014-07-24 03:00:00,3,2014-07-24
4217.30847423104,2014-07-24 04:00:00,4,2014-07-24
4247.81994914988,2014-07-24 05:00:00,5,2014-07-24
4132.21610985457,2014-07-24 06:00:00,6,2014-07-24
4104.89026766439,2014-07-24 07:00:00,7,2014-07-24
3121.96914421481,2014-07-24 08:00:00,8,2014-07-24
3186.81383000904,2014-07-24 09:00:00,9,2014-07-24
3156.49391768104,2014-07-24 10:00:00,10,2014-07-24
3129.91679320343,2014-07-24 11:00:00,11,2014-07-24
2453.53460462555,2014-07-24 12:00:00,12,2014-07-24
1544.5224150578,2014-07-24 13:00:00,13,2014-07-24
2725.02247536883,2014-07-24 14:00:00,14,2014-07-24
2834.88453039627,2014-07-24 15:00:00,15,2014-07-24
2844.74330525711,2014-07-24 16:00:00,16,2014-07-24
2936.50867523588,2014-07-24 17:00:00,17,2014-07-24
3946.49821210603,2014-07-24 18:00:00,18,2014-07-24
3757.63623705538,2014-07-24 19:00:00,19,2014-07-24
3724.71425262307,2014-07-24 20:00:00,20,2014-07-24
3765.840218937,2014-07-24 21:00:00,21,2014-07-24
3707.2143083706,2014-07-24 22:00:00,22,2014-07-24
3591.11873695453,2014-07-24 23:00:00,23,2014-07-24
3742.11297059752,2014-07-25 00:00:00,0,2014-07-25
3690.06918596887,2014-07-25 01:00:00,1,2014-07-25
3910.59926099833,2014-07-25 02:00:00,2,2014-07-25
4172.60458771304,2014-07-25 03:00:00,3,2014-07-25
4374.54946427197,2014-07-25 04:00:00,4,2014-07-25
4402.59572795857,2014-07-25 05:00:00,5,2014-07-25
4397.80429886738,2014-07-25 06:00:00,6,2014-07-25
4517.62705475438,2014-07-25 07:00:00,7,2014-07-25
3404.05323087298,2014-07-25 08:00:00,8,2014-07-25
3555.98591249646,2014-07-25 09:00:00,9,2014-07-25
3610.70943966877,2014-07-25 10:00:00,10,2014-07-25
3499.61236510562,2014-07-25 11:00:00,11,2014-07-25
3448.58068855157,2014-07-25 12:00:00,12,2014-07-25
3298.37464338733,2014-07-25 13:00:00,13,2014-07-25
3241.64429103555,2014-07-25 14:00:00,14,2014-07-25
3078.65680676887,2014-07-25 15:00:00,15,2014-07-25
3019.31695000959,2014-07-25 16:00:00,16,2014-07-25
2967.4267121792,2014-07-25 17:00:00,17,2014-07-25
3764.99705008049,2014-07-25 18:00:00,18,2014-07-25
3666.26059298336,2014-07-25 19:00:00,19,2014-07-25
3669.15227605247,2014-07-25 20:00:00,20,2014-07-25
3627.00321716843,2014-07-25 21:00:00,21,2014-07-25
3514.71727719639,2014-07-25 22:00:00,22,2014-07-25
3445.37496963151,2014-07-25 23:00:00,23,2014-07-25
3521.76385084609,2014-07-26 00:00:00,0,2014-07-26
3462.78876653062,2014-07-26 01:00:00,1,2014-07-26
3583.85899022133,2014-07-26 02:00:00,2,2014-07-26
3650.76264175671,2014-07-26 03:00:00,3,2014-07-26
3827.62048829879,2014-07-26 04:00:00,4,2014-07-26
3908.17236345364,2014-07-26 05:00:00,5,2014-07-26
3956.50249213115,2014-07-26 06:00:00,6,2014-07-26
4029.41137724313,2014-07-26 07:00:00,7,2014-07-26
3054.17735529841,2014-07-26 08:00:00,8,2014-07-26
3105.66386600829,2014-07-26 09:00:00,9,2014-07-26
3196.63073974411,2014-07-26 10:00:00,10,2014-07-26
3158.69769007379,2014-07-26 11:00:00,11,2014-07-26
3034.59184685663,2014-07-26 12:00:00,12,2014-07-26
3098.38102841651,2014-07-26 13:00:00,13,2014-07-26
3079.83735429879,2014-07-26 14:00:00,14,2014-07-26
2971.67452721729,2014-07-26 15:00:00,15,2014-07-26
2950.29783793176,2014-07-26 16:00:00,16,2014-07-26
2926.04539316334,2014-07-26 17:00:00,17,2014-07-26
3890.2533246599,2014-07-26 18:00:00,18,2014-07-26
3805.8947427777,2014-07-26 19:00:00,19,2014-07-26
3983.28729183777,2014-07-26 20:00:00,20,2014-07-26
3856.78337752135,2014-07-26 21:00:00,21,2014-07-26
3664.59339223207,2014-07-26 22:00:00,22,2014-07-26
3649.06536526394,2014-07-26 23:00:00,23,2014-07-26
3773.44573212211,2014-07-27 00:00:00,0,2014-07-27
3327.95010152641,2014-07-27 01:00:00,1,2014-07-27
3422.64495961,2014-07-27 02:00:00,2,2014-07-27
3462.33338950365,2014-07-27 03:00:00,3,2014-07-27
3579.28246571824,2014-07-27 04:00:00,4,2014-07-27
3624.70504732797,2014-07-27 05:00:00,5,2014-07-27
3696.68725334758,2014-07-27 06:00:00,6,2014-07-27
3667.64281782567,2014-07-27 07:00:00,7,2014-07-27
2918.89989260689,2014-07-27 08:00:00,8,2014-07-27
2955.95475125189,2014-07-27 09:00:00,9,2014-07-27
2944.57689861255,2014-07-27 10:00:00,10,2014-07-27
2962.49877451568,2014-07-27 11:00:00,11,2014-07-27
2868.49856055762,2014-07-27 12:00:00,12,2014-07-27
2834.86470618718,2014-07-27 13:00:00,13,2014-07-27
2899.03310759708,2014-07-27 14:00:00,14,2014-07-27
2732.63272786518,2014-07-27 15:00:00,15,2014-07-27
2756.77167336658,2014-07-27 16:00:00,16,2014-07-27
2631.71494483718,2014-07-27 17:00:00,17,2014-07-27
3616.48272685173,2014-07-27 18:00:00,18,2014-07-27
3660.44824748007,2014-07-27 19:00:00,19,2014-07-27
3608.34941945189,2014-07-27 20:00:00,20,2014-07-27
3549.78210211134,2014-07-27 21:00:00,21,2014-07-27
3417.55454810412,2014-07-27 22:00:00,22,2014-07-27
3360.68054465882,2014-07-27 23:00:00,23,2014-07-27
3325.58341724177,2014-07-28 00:00:00,0,2014-07-28
3350.3511413205,2014-07-28 01:00:00,1,2014-07-28
3650.13047317607,2014-07-28 02:00:00,2,2014-07-28
3775.9497845277,2014-07-28 03:00:00,3,2014-07-28
3825.66833485607,2014-07-28 04:00:00,4,2014-07-28
4006.37833087278,2014-07-28 05:00:00,5,2014-07-28
4031.94664849712,2014-07-28 06:00:00,6,2014-07-28
4035.59095950175,2014-07-28 07:00:00,7,2014-07-28
3157.00114338964,2014-07-28 08:00:00,8,2014-07-28
3091.32553923417,2014-07-28 09:00:00,9,2014-07-28
3049.64670689378,2014-07-28 10:00:00,10,2014-07-28
3137.45764573879,2014-07-28 11:00:00,11,2014-07-28
3038.85540921118,2014-07-28 12:00:00,12,2014-07-28
3145.80401126706,2014-07-28 13:00:00,13,2014-07-28
3037.92502821491,2014-07-28 14:00:00,14,2014-07-28
2922.51468217304,2014-07-28 15:00:00,15,2014-07-28
2975.46731858018,2014-07-28 16:00:00,16,2014-07-28
2903.19450406505,2014-07-28 17:00:00,17,2014-07-28
3844.09400550924,2014-07-28 18:00:00,18,2014-07-28
3737.65690638011,2014-07-28 19:00:00,19,2014-07-28
3595.51633276846,2014-07-28 20:00:00,20,2014-07-28
3581.6191858843,2014-07-28 21:00:00,21,2014-07-28
3449.53423019467,2014-07-28 22:00:00,22,2014-07-28
3502.89414667388,2014-07-28 23:00:00,23,2014-07-28
3385.69346229819,2014-07-29 00:00:00,0,2014-07-29
3468.46905471174,2014-07-29 01:00:00,1,2014-07-29
3703.15150231858,2014-07-29 02:00:00,2,2014-07-29
3898.20088658789,2014-07-29 03:00:00,3,2014-07-29
3995.82542253722,2014-07-29 04:00:00,4,2014-07-29
4051.41793311266,2014-07-29 05:00:00,5,2014-07-29
4209.12671335968,2014-07-29 06:00:00,6,2014-07-29
4191.97079976855,2014-07-29 07:00:00,7,2014-07-29
3287.51179125463,2014-07-29 08:00:00,8,2014-07-29
3333.09810544136,2014-07-29 09:00:00,9,2014-07-29
3179.46952511174,2014-07-29 10:00:00,10,2014-07-29
3292.57514552855,2014-07-29 11:00:00,11,2014-07-29
3124.32453113837,2014-07-29 12:00:00,12,2014-07-29
3102.12429752469,2014-07-29 13:00:00,13,2014-07-29
2976.12540389724,2014-07-29 14:00:00,14,2014-07-29
2938.57809354535,2014-07-29 15:00:00,15,2014-07-29
2917.11600786537,2014-07-29 16:00:00,16,2014-07-29
2735.07485598826,2014-07-29 17:00:00,17,2014-07-29
3676.47551088818,2014-07-29 18:00:00,18,2014-07-29
3627.37062223391,2014-07-29 19:00:00,19,2014-07-29
3485.25854987059,2014-07-29 20:00:00,20,2014-07-29
3453.09204447851,2014-07-29 21:00:00,21,2014-07-29
3320.5691820305,2014-07-29 22:00:00,22,2014-07-29
3282.3229225128,2014-07-29 23:00:00,23,2014-07-29
3348.95208808931,2014-07-30 00:00:00,0,2014-07-30
3365.67938377871,2014-07-30 01:00:00,1,2014-07-30
3527.44706243595,2014-07-30 02:00:00,2,2014-07-30
