"DEMAND","TIME","HOUR","DATE"
510.303047433989,2014-07-18 00:00:00,0,2014-07-18
619.561553609669,2014-07-18 01:00:00,1,2014-07-18
592.390002019219,2014-07-18 02:00:00,2,2014-07-18
571.261493443921,2014-07-18 03:00:00,3,2014-07-18
557.443179096496,2014-07-18 04:00:00,4,2014-07-18
558.783203983633,2014-07-18 05:00:00,5,2014-07-18
544.108927027881,2014-07-18 06:00:00,6,2014-07-18
529.474014182892,2014-07-18 07:00:00,7,2014-07-18
502.607168898052,2014-07-18 08:00:00,8,2014-07-18
523.956430699881,2014-07-18 09:00:00,9,2014-07-18
524.625162554299,2014-07-18 10:00:00,10,2014-07-18
541.569805169692,2014-07-18 11:00:00,11,2014-07-18
579.517506055338,2014-07-18 12:00:00,12,2014-07-18
635.63722633861,2014-07-18 13:00:00,13,2014-07-18
599.66683109656,2014-07-18 14:00:00,14,2014-07-18
576.570223829951,2014-07-18 15:00:00,15,2014-07-18
556.01001664619,2014-07-18 16:00:00,16,2014-07-18
551.789456241243,2014-07-18 17:00:00,17,2014-07-18
517.387254130757,2014-07-18 18:00:00,18,2014-07-18
497.306100689303,2014-07-18 19:00:00,19,2014-07-18
552.632408989593,2014-07-18 20:00:00,20,2014-07-18
586.528888181113,2014-07-18 21:00:00,21,2014-07-18
583.33795025697,2014-07-18 22:00:00,22,2014-07-18
581.916494072545,2014-07-18 23:00:00,23,2014-07-18
542.477324102763,2014-07-19 00:00:00,0,2014-07-19
542.084696764983,2014-07-19 01:00:00,1,2014-07-19
532.914419952426,2014-07-19 02:00:00,2,2014-07-19
505.270963758314,2014-07-19 03:00:00,3,2014-07-19
376.80111336655,2014-07-19 04:00:00,4,2014-07-19
353.946379013965,2014-07-19 05:00:00,5,2014-07-19
332.459280275758,2014-07-19 06:00:00,6,2014-07-19
125.762994711826,2014-07-19 07:00:00,7,2014-07-19
118.543172227191,2014-07-19 08:00:00,8,2014-07-19
127.604401964145,2014-07-19 09:00:00,9,2014-07-19
115.130669102976,2014-07-19 10:00:00,10,2014-07-19
144.081398415922,2014-07-19 11:00:00,11,2014-07-19
128.096032140311,2014-07-19 12:00:00,12,2014-07-19
146.506862098491,2014-07-19 13:00:00,13,2014-07-19
132.262680051774,2014-07-19 14:00:00,14,2014-07-19
143.753605072182,2014-07-19 15:00:00,15,2014-07-19
138.814139405368,2014-07-19 16:00:00,16,2014-07-19
144.750309299352,2014-07-19 17:00:00,17,2014-07-19
134.12511314638,2014-07-19 18:00:00,18,2014-07-19
125.824728638716,2014-07-19 19:00:00,19,2014-07-19
132.612900708681,2014-07-19 20:00:00,20,2014-07-19
124.366742559336,2014-07-19 21:00:00,21,2014-07-19
126.213764484013,2014-07-19 22:00:00,22,2014-07-19
130.30789092849,2014-07-19 23:00:00,23,2014-07-19
144.463637886643,2014-07-20 00:00:00,0,2014-07-20
123.83761681499,2014-07-20 01:00:00,1,2014-07-20
132.516653453764,2014-07-20 02:00:00,2,2014-07-20
138.714490540121,2014-07-20 03:00:00,3,2014-07-20
127.713676481713,2014-07-20 04:00:00,4,2014-07-20
123.75907880011,2014-07-20 05:00:00,5,2014-07-20
123.138839937374,2014-07-20 06:00:00,6,2014-07-20
129.684676687801,2014-07-20 07:00:00,7,2014-07-20
136.07052921094,2014-07-20 08:00:00,8,2014-07-20
121.12481400881,2014-07-20 09:00:00,9,2014-07-20
136.764884459535,2014-07-20 10:00:00,10,2014-07-20
136.934343575472,2014-07-20 11:00:00,11,2014-07-20
130.5503204084,2014-07-20 12:00:00,12,2014-07-20
139.121177278273,2014-07-20 13:00:00,13,2014-07-20
143.748265422313,2014-07-20 14:00:00,14,2014-07-20
143.067459450988,2014-07-20 15:00:00,15,2014-07-20
135.15377726974,2014-07-20 16:00:00,16,2014-07-20
141.915544776237,2014-07-20 17:00:00,17,2014-07-20
150.922035631053,2014-07-20 18:00:00,18,2014-07-20
315.897451887382,2014-07-20 19:00:00,19,2014-07-20
326.010606426755,2014-07-20 20:00:00,20,2014-07-20
311.218039827431,2014-07-20 21:00:00,21,2014-07-20
303.676432776405,2014-07-20 22:00:00,22,2014-07-20
326.990630085748,2014-07-20 23:00:00,23,2014-07-20
308.893386999601,2014-07-21 00:00:00,0,2014-07-21
383.435216997061,2014-07-21 01:00:00,1,2014-07-21
369.61080371934,2014-07-21 02:00:00,2,2014-07-21
378.546667164322,2014-07-21 03:00:00,3,2014-07-21
437.43050121191,2014-07-21 04:00:00,4,2014-07-21
509.404303388726,2014-07-21 05:00:00,5,2014-07-21
568.188186714202,2014-07-21 06:00:00,6,2014-07-21
577.713762736134,2014-07-21 07:00:00,7,2014-07-21
603.573712358773,2014-07-21 08:00:00,8,2014-07-21
570.064047424402,2014-07-21 09:00:00,9,2014-07-21
602.240393682858,2014-07-21 10:00:00,10,2014-07-21
576.072104257587,2014-07-21 11:00:00,11,2014-07-21
553.692457479704,2014-07-21 12:00:00,12,2014-07-21
556.835889304876,2014-07-21 13:00:00,13,2014-07-21
537.074757639673,2014-07-21 14:00:00,14,2014-07-21
580.461923134597,2014-07-21 15:00:00,15,2014-07-21
570.991531074168,2014-07-21 16:00:00,16,2014-07-21
659.75554597903,2014-07-21 17:00:00,17,2014-07-21
634.816318952702,2014-07-21 18:00:00,18,2014-07-21
610.216293789363,2014-07-21 19:00:00,19,2014-07-21
541.66997063661,2014-07-21 20:00:00,20,2014-07-21
536.074110062197,2014-07-21 21:00:00,21,2014-07-21
565.65770280892,2014-07-21 22:00:00,22,2014-07-21
563.048973060893,2014-07-21 23:00:00,23,2014-07-21
546.403552581975,2014-07-22 00:00:00,0,2014-07-22
595.578387058815,2014-07-22 01:00:00,1,2014-07-22
591.319857794959,2014-07-22 02:00:00,2,2014-07-22
543.345749947513,2014-07-22 03:00:00,3,2014-07-22
548.164335552854,2014-07-22 04:00:00,4,2014-07-22
561.543008591998,2014-07-22 05:00:00,5,2014-07-22
511.95745773769,2014-07-22 06:00:00,6,2014-07-22
554.465521373274,2014-07-22 07:00:00,7,2014-07-22
552.14673827908,2014-07-22 08:00:00,8,2014-07-22
578.797178095244,2014-07-22 09:00:00,9,2014-07-22
