season,T,hour,power,dayName,isHoliday,top5TOfSeason,weeksSincePeak,isMoPeak
summer,low,night,low,Tuesday,n,y,0,n
summer,low,night,low,Tuesday,n,y,0,n
summer,low,night,med,Tuesday,n,y,0,n
summer,low,night,med,Tuesday,n,y,0,n
summer,low,night,med,Tuesday,n,y,0,n
summer,low,night,med,Tuesday,n,y,0,n
summer,low,day,med,Tuesday,n,y,0,n
summer,low,day,med,Tuesday,n,y,0,n
summer,low,day,hiMed,Tuesday,n,y,0,n
summer,low,day,hiMed,Tuesday,n,y,0,n
summer,low,day,hiMed,Tuesday,n,y,0,n
summer,low,day,hiMed,Tuesday,n,y,0,n
summer,low,day,hiMed,Tuesday,n,y,0,n
summer,low,day,hiMed,Tuesday,n,y,0,n
summer,low,day,hiMed,Tuesday,n,y,0,n
summer,low,day,hiMed,Tuesday,n,y,0,n
summer,low,day,hiMed,Tuesday,n,y,0,n
summer,low,night,med,Tuesday,n,y,0,n
summer,low,night,med,Tuesday,n,y,0,n
summer,low,night,med,Tuesday,n,y,0,n
summer,low,night,med,Tuesday,n,y,0,n
summer,low,night,med,Tuesday,n,y,0,n
summer,low,night,med,Tuesday,n,y,0,n
summer,low,night,med,Wednesday,n,y,0,n
summer,low,night,med,Wednesday,n,y,0,n
summer,low,night,med,Wednesday,n,y,0,n
summer,low,night,med,Wednesday,n,y,0,n
summer,low,night,med,Wednesday,n,y,0,n
summer,low,night,med,Wednesday,n,y,0,n
summer,low,day,med,Wednesday,n,y,0,n
summer,low,day,med,Wednesday,n,y,0,n
summer,low,day,hiMed,Wednesday,n,y,0,n
summer,low,day,hiMed,Wednesday,n,y,0,n
summer,low,day,hiMed,Wednesday,n,y,0,n
summer,low,day,hiMed,Wednesday,n,y,0,n
summer,low,day,hiMed,Wednesday,n,y,0,n
summer,low,day,hiMed,Wednesday,n,y,0,n
summer,low,day,hiMed,Wednesday,n,y,0,n
summer,low,day,hiMed,Wednesday,n,y,0,n
summer,low,day,hiMed,Wednesday,n,y,0,n
summer,low,night,med,Wednesday,n,y,0,n
summer,low,night,med,Wednesday,n,y,0,n
summer,low,night,med,Wednesday,n,y,0,n
summer,med,night,med,Wednesday,n,y,0,n
summer,med,night,med,Wednesday,n,y,0,n
summer,med,night,low,Thursday,n,y,0,n
summer,low,night,med,Thursday,n,n,0,n
summer,low,night,low,Thursday,n,n,0,n
summer,low,night,med,Thursday,n,n,0,n
summer,low,night,med,Thursday,n,n,0,n
summer,low,night,med,Thursday,n,n,0,n
summer,low,day,med,Thursday,n,n,0,n
summer,low,day,hiMed,Thursday,n,n,0,n
summer,low,day,hiMed,Thursday,n,n,0,n
summer,low,day,hiMed,Thursday,n,n,0,n
summer,low,day,hiMed,Thursday,n,n,0,n
summer,med,day,hi,Thursday,n,n,0,n
summer,med,day,hi,Thursday,n,n,0,n
summer,med,day,hi,Thursday,n,n,0,n
summer,med,day,hi,Thursday,n,n,0,n
summer,med,day,hi,Thursday,n,n,0,n
