"DEMAND","TIME","HOUR","DATE"
386.640271078038,2014-07-18 00:00:00,0,2014-07-18
369.675689699478,2014-07-18 01:00:00,1,2014-07-18
391.366852190287,2014-07-18 02:00:00,2,2014-07-18
376.626764013548,2014-07-18 03:00:00,3,2014-07-18
400.871693733439,2014-07-18 04:00:00,4,2014-07-18
396.265566740767,2014-07-18 05:00:00,5,2014-07-18
417.510609566176,2014-07-18 06:00:00,6,2014-07-18
425.865699563292,2014-07-18 07:00:00,7,2014-07-18
417.258320114226,2014-07-18 08:00:00,8,2014-07-18
428.989108364796,2014-07-18 09:00:00,9,2014-07-18
422.964823902061,2014-07-18 10:00:00,10,2014-07-18
414.278070770961,2014-07-18 11:00:00,11,2014-07-18
417.412965418887,2014-07-18 12:00:00,12,2014-07-18
406.492121420044,2014-07-18 13:00:00,13,2014-07-18
399.493820631469,2014-07-18 14:00:00,14,2014-07-18
420.242508792435,2014-07-18 15:00:00,15,2014-07-18
422.882277133933,2014-07-18 16:00:00,16,2014-07-18
416.30180216697,2014-07-18 17:00:00,17,2014-07-18
398.226504148683,2014-07-18 18:00:00,18,2014-07-18
389.382549181406,2014-07-18 19:00:00,19,2014-07-18
394.878465569054,2014-07-18 20:00:00,20,2014-07-18
416.512914919876,2014-07-18 21:00:00,21,2014-07-18
398.054298890405,2014-07-18 22:00:00,22,2014-07-18
379.887932517042,2014-07-18 23:00:00,23,2014-07-18
382.712311174197,2014-07-19 00:00:00,0,2014-07-19
374.256403466628,2014-07-19 01:00:00,1,2014-07-19
381.726322104107,2014-07-19 02:00:00,2,2014-07-19
375.301730287669,2014-07-19 03:00:00,3,2014-07-19
380.010819219286,2014-07-19 04:00:00,4,2014-07-19
395.817617230525,2014-07-19 05:00:00,5,2014-07-19
404.576423617022,2014-07-19 06:00:00,6,2014-07-19
393.287429770106,2014-07-19 07:00:00,7,2014-07-19
410.920271079405,2014-07-19 08:00:00,8,2014-07-19
407.681506334164,2014-07-19 09:00:00,9,2014-07-19
411.756243409123,2014-07-19 10:00:00,10,2014-07-19
402.797633052978,2014-07-19 11:00:00,11,2014-07-19
394.462031893083,2014-07-19 12:00:00,12,2014-07-19
381.739545172313,2014-07-19 13:00:00,13,2014-07-19
365.894714261056,2014-07-19 14:00:00,14,2014-07-19
411.932729639637,2014-07-19 15:00:00,15,2014-07-19
393.243334820261,2014-07-19 16:00:00,16,2014-07-19
392.082978038059,2014-07-19 17:00:00,17,2014-07-19
395.554173523327,2014-07-19 18:00:00,18,2014-07-19
370.218999585079,2014-07-19 19:00:00,19,2014-07-19
373.057722059835,2014-07-19 20:00:00,20,2014-07-19
399.643918549235,2014-07-19 21:00:00,21,2014-07-19
387.473051089561,2014-07-19 22:00:00,22,2014-07-19
368.608566865092,2014-07-19 23:00:00,23,2014-07-19
370.066411633801,2014-07-20 00:00:00,0,2014-07-20
360.946997100487,2014-07-20 01:00:00,1,2014-07-20
373.867526004382,2014-07-20 02:00:00,2,2014-07-20
349.880867534899,2014-07-20 03:00:00,3,2014-07-20
371.121135155961,2014-07-20 04:00:00,4,2014-07-20
370.42753011774,2014-07-20 05:00:00,5,2014-07-20
402.974187273998,2014-07-20 06:00:00,6,2014-07-20
391.059862227819,2014-07-20 07:00:00,7,2014-07-20
402.649083380296,2014-07-20 08:00:00,8,2014-07-20
408.182789893413,2014-07-20 09:00:00,9,2014-07-20
417.628738844011,2014-07-20 10:00:00,10,2014-07-20
418.090190307586,2014-07-20 11:00:00,11,2014-07-20
399.134467176918,2014-07-20 12:00:00,12,2014-07-20
398.814360805263,2014-07-20 13:00:00,13,2014-07-20
379.82098953292,2014-07-20 14:00:00,14,2014-07-20
393.817319609283,2014-07-20 15:00:00,15,2014-07-20
403.986958061694,2014-07-20 16:00:00,16,2014-07-20
373.315110846946,2014-07-20 17:00:00,17,2014-07-20
372.348947984632,2014-07-20 18:00:00,18,2014-07-20
361.326563328505,2014-07-20 19:00:00,19,2014-07-20
378.868597646826,2014-07-20 20:00:00,20,2014-07-20
401.855700881162,2014-07-20 21:00:00,21,2014-07-20
399.416884044127,2014-07-20 22:00:00,22,2014-07-20
373.08259659278,2014-07-20 23:00:00,23,2014-07-20
361.88615849067,2014-07-21 00:00:00,0,2014-07-21
372.835633487382,2014-07-21 01:00:00,1,2014-07-21
397.791192079021,2014-07-21 02:00:00,2,2014-07-21
365.69821753318,2014-07-21 03:00:00,3,2014-07-21
388.78984105424,2014-07-21 04:00:00,4,2014-07-21
402.742394555069,2014-07-21 05:00:00,5,2014-07-21
415.551592415199,2014-07-21 06:00:00,6,2014-07-21
